t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_real_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
9725.0,1.8684334715773638e-05,0.0,1.8677773839400278e-05,-1.1628750619775792e-29,1.8675349520698947e-05,2.896753160913615e-31,0.0,1.0378865800396109e-09,-7.543482406175925e-30,9.944547100786596e-10
9840.0,1.8906037531362524e-05,0.0,1.889940813961895e-05,-1.093219448594693e-29,1.8896955219846835e-05,6.097794068557947e-31,0.0,1.0502108726325364e-09,-1.7749370367472766e-30,1.0062794280016906e-09
10609.0,2.0390722178449074e-05,0.0,2.038193015112105e-05,-9.563738394501513e-30,2.03792852936803e-05,5.576395320535577e-31,0.0,1.1326070592697195e-09,-6.212279628615468e-30,1.0853829148441142e-09
10740.0,2.064385924352278e-05,0.0,2.0634559650799932e-05,-9.882284148494009e-30,2.0631882084613535e-05,6.568275362317041e-31,0.0,1.1466521338679807e-09,4.437342591868191e-31,1.0988624794611183e-09
11493.0,2.2098958875385056e-05,0.0,2.2087151625786617e-05,-1.2149922702069782e-29,2.2084284729790405e-05,3.8702968937002032e-31,0.0,1.2274952259052e-09,-7.099748146989106e-30,1.1763623548034798e-09
11640.0,2.2382941499442255e-05,0.0,2.237081557041578e-05,-1.1744257412804423e-29,2.236791159254376e-05,6.198123868188449e-31,0.0,1.2432998842803866e-09,-2.662405555120915e-30,1.1914968190949087e-09
12377.0,2.3806286986328757e-05,0.0,2.379343957445271e-05,-8.760335669505438e-30,2.379034869129066e-05,1.4814503690486833e-31,0.0,1.322628531270204e-09,0.0,1.2674150627495017e-09
12520.0,2.408241937198346e-05,0.0,2.406955688635091e-05,-8.46800744154003e-30,2.406642973918824e-05,2.0171946678767796e-31,0.0,1.3380334836275886e-09,-1.7749370367472766e-30,1.2821555661804008e-09
13261.0,2.5513627131058433e-05,0.0,2.550079321181283e-05,-9.587933836666315e-30,2.5497478552702582e-05,2.8886190249430188e-31,0.0,1.417878088731295e-09,-7.099748146989106e-30,1.358592092022531e-09
13420.0,2.582080224404937e-05,0.0,2.580799808765851e-05,-8.839059847812649e-30,2.5804643424116418e-05,3.274312416957548e-31,0.0,1.4350113616332783e-09,2.662405555120915e-30,1.3750038160515972e-09
14146.0,2.7223430471260898e-05,0.0,2.721114517110947e-05,-8.873928814237853e-30,2.720760885945276e-05,1.7397585291555629e-31,0.0,1.5132377420092824e-09,-6.656013887802287e-30,1.4499670518254751e-09
14320.0,2.7559610126058533e-05,0.0,2.754754340965883e-05,-8.476900093763637e-30,2.754396381499067e-05,5.189449725489714e-32,0.0,1.5319845675429136e-09,2.2186712959340957e-30,1.467938585524363e-09
15030.0,2.893188386548346e-05,0.0,2.892063248173196e-05,-6.1990535471674274e-30,2.891687587077136e-05,-3.969568566611484e-31,0.0,1.608476832438935e-09,-9.318419442923202e-30,1.541288182799252e-09
15220.0,2.929941445443257e-05,0.0,2.928819590710887e-05,-6.865885771858819e-30,2.9284391844408564e-05,-5.802780013782057e-31,0.0,1.6289479899852789e-09,-8.874685183736383e-31,1.5609240883752178e-09
15914.0,3.0643647900239614e-05,0.0,3.063119100802168e-05,-7.042195642614964e-30,3.0627212235978666e-05,-8.617806770661465e-31,0.0,1.7037635828553875e-09,-1.7749370367472766e-30,1.6326850950482844e-09
16120.0,3.1043217722864606e-05,0.0,3.102995945685788e-05,-7.481742632927085e-30,3.1025928549956084e-05,-6.873911757079836e-31,0.0,1.7259930116454882e-09,-1.7749370367472766e-30,1.6540003002267744e-09
16798.0,3.235922193334656e-05,0.0,3.234282270914677e-05,-6.98869558533722e-30,3.2338619314394894e-05,-6.998133238809795e-31,0.0,1.799261687387127e-09,-7.987216665362745e-30,1.7242024100615018e-09
17000.0,3.275130467408232e-05,0.0,3.2734092732116706e-05,-8.174064806184298e-30,3.272983790270399e-05,-4.994394261616374e-31,0.0,1.8211234077480253e-09,-8.430950924549564e-30,1.7451305821537788e-09
17682.0,3.407377000846307e-05,0.0,3.4055526975636066e-05,-8.945061039093294e-30,3.4051098669809875e-05,-4.543775604370747e-31,0.0,1.8950136544751947e-09,-4.437342591868191e-31,1.8158180681033443e-09
17900.0,3.449595543157766e-05,0.0,3.447805543129696e-05,-1.040998017918711e-29,3.4473571882380224e-05,-6.361764425083595e-31,0.0,1.9186399232384365e-09,-3.993608332681372e-30,1.8384193824053797e-09
18566.0,3.578468743815953e-05,0.0,3.576930323431691e-05,-8.315864094671144e-30,3.576465136385021e-05,-7.817138887647524e-31,0.0,1.990776588170346e-09,-8.874685183736383e-31,1.9074860263461702e-09
18800.0,3.6237547173660926e-05,0.0,3.622312939736823e-05,-8.684024599062586e-30,3.621841859792744e-05,-7.172574153320567e-31,0.0,2.016100585990388e-09,-6.656013887802287e-30,1.9317603517234764e-09
