nu_t_over_M,FastEMRIWaveforms_R_h20_over_nu_M,arXiv_2407_19017_Fig3_R_h20_over_nu_M
-140.84241494059546,0.07479989915308054,0.07614078568680659
-140.48744693867266,0.07482628053720101,0.07616154955698559
-140.1333735483741,0.07485265462780304,0.07618226109681503
-139.78019251510625,0.07487902140703126,0.07620292043817745
-139.4279015897686,0.07490538085670378,0.07622352771263409
-139.07649852936396,0.07493173295831443,0.07624408305138919
-138.72598109577797,0.07495807769303506,0.07626458658536137
-138.3763470573047,0.07498441504173636,0.07628503844509434
-138.02759418773147,0.0750107449849342,0.07630543876081053
-137.67972026603326,0.07503706750288494,0.07632578766242891
-137.3327230772886,0.0750633825755133,0.07634608527951142
-136.98660041145865,0.07508969018247048,0.07636633174133438
-136.64135006491318,0.07511599030306111,0.07638652717679925
-136.2969698389047,0.07514228291633969,0.07640667171452187
-135.95345754048384,0.0751685680010561,0.07642676548277891
-135.6108109828047,0.07519484553563865,0.07644680860949002
-135.26902798329382,0.07522111549827201,0.07646680122232496
-134.92810636578614,0.07524737786684238,0.07648674344857859
-134.58804395960976,0.0752736326189394,0.07650663541522448
-134.2488385989755,0.07529987973189642,0.07652647724895055
-133.91048812389238,0.07532611918279264,0.07654626907610561
-133.5729903804728,0.07535235094837818,0.07656601102268137
-133.23634321910154,0.07537857500517214,0.07658570321441972
-132.90054449565648,0.07540479132944553,0.07660534577674118
-132.56559207272915,0.07543099989718444,0.07662493883467353
-132.2314838165732,0.0754572006841113,0.07664448251303038
-131.8982176007663,0.07548339366568667,0.07666397693619692
-131.5657913019378,0.07550957881715008,0.07668342222837979
-131.23420280434638,0.0755357561134636,0.0767028185133394
-130.9034499956075,0.0755619255293721,0.07672216591463978
-130.5735307700504,0.07558808703934655,0.07674146455545224
-130.244443026887,0.07561424061760506,0.07676071455866247
-129.91618467021195,0.07564038623817393,0.07677991604687057
-129.58875360991814,0.07566652387483044,0.07679906914233744
-129.2621477613915,0.07569265350106487,0.07681817396700269
-128.93636504429034,0.0757187750902207,0.07683723064255601
-128.61140338437636,0.07574488861533796,0.07685623929033006
-128.2872607125991,0.07577099404929377,0.07687520003135404
-127.96393496448577,0.07579709136472741,0.07689411298638937
-127.64142408136166,0.07582318053773561,0.07691297827585837
-127.31972600943486,0.0758492615554429,0.07693179601989766
-126.9988387004065,0.07587533440662715,0.0769505663383226
-126.67876011086038,0.07590139907981865,0.07696928935066291
-126.35948820256827,0.075927455563081,0.07698796517614484
-126.04102094248975,0.07595350384419527,0.07700659393369119
-125.72335630277232,0.0759795439105411,0.07702517574192129
-125.40649226044619,0.07600557574915984,0.07704371071916885
-125.09042679833976,0.07603159934675716,0.07706219898342843
-124.77515790294353,0.07605761468970548,0.07708064065248035
-124.46068356746169,0.07608362176398509,0.07709903584371225
-124.14700178876048,0.0761096205553092,0.07711738467429752
-123.8341105698095,0.07613561104898284,0.07713568726105254
-123.52200791815595,0.07616159323004894,0.07715394372052593
-123.21069184653489,0.07618756708318782,0.07717215416896286
-122.90016037195373,0.07621353259276076,0.07719031872235857
-122.59041151782849,0.07623948974279135,0.07720843749633345
-122.28144331154235,0.07626543851703,0.07722651060627579
-121.97325378505609,0.07629137889889435,0.07724453816730614
-121.66584097643381,0.0763173108714709,0.07726252029418806
-121.35920292801207,0.07634323441755902,0.07728045710143515
-121.05333768731525,0.0763691495196525,0.07729834870325755
-120.74824330675045,0.07639505615992037,0.07731619521357982
-120.44391784330236,0.07642095432029333,0.07733399674605872
-120.14035935914352,0.07644684398233963,0.07735175341404757
-119.83756592102401,0.07647272512739352,0.07736946533063191
-119.53553560118696,0.07649859773647304,0.07738713260857598
-119.2342664764531,0.07652446179028166,0.07740475536037622
-118.93375662822065,0.07655031726929554,0.07742233369826136
-118.63400414307571,0.07657616415370182,0.07743986773415662
-118.3350071118768,0.07660200242337917,0.07745735757973732
-118.03676363128064,0.07662783205796381,0.07747480334633962
-117.73927180160597,0.07665365303680878,0.07749220514508548
-117.44252972896977,0.07667946533900737,0.07750956308675766
-117.14653552345624,0.0767052689433733,0.07752687728190688
-116.85128730003225,0.07673106382850771,0.07754414784079823
-116.5567831791578,0.07675684997267115,0.07756137487337551
-116.26302128526001,0.07678262735398045,0.07757855848935045
-115.96999974764877,0.07680839595017191,0.07759569879814915
-115.67771670051668,0.0768341557388421,0.07761279590891208
-115.38617028263387,0.07685990669729759,0.077629849930512
-115.09535863765316,0.07688564880257823,0.07764686097153602
-114.805279913805,0.07691138203152466,0.07766382914030347
-114.5159322635921,0.07693710636071448,0.07768075454488382
-114.22731384470517,0.07696282176650783,0.07769763729304302
-113.93942281941237,0.07698852822502711,0.07771447749227928
-113.6522573542543,0.07701422571215878,0.07773127524984091
-113.36581562065423,0.07703991420355491,0.07774803067269058
-113.0800957949182,0.07706559367467941,0.07776474386750537
-112.79509605731937,0.07709126410074309,0.07778141494073026
-112.5108145930137,0.07711692545674954,0.07779804399852466
-112.22724959203984,0.07714257771747482,0.07781463114676236
-111.94439924901394,0.07716822085749106,0.07783117649104934
-111.6622617619091,0.07719385485116843,0.07784768013679527
-111.38083533510688,0.07721947967265412,0.07786414218903494
