t_over_M,linear_h20_real_over_nu_M_over_R,linear_h20_imag_over_nu_M_over_R,delta_hD20_real_over_nu_M_over_R,delta_hD20_imag_over_nu_M_over_R,delta_hS20_real_over_nu_M_over_R,delta_hS20_imag_over_nu_M_over_R,nonlinear_null_total_h20_real_over_nu_M_over_R,nonlinear_null_total_h20_imag_over_nu_M_over_R,total_h20_real_over_nu_M_over_R,total_h20_imag_over_nu_M_over_R,linear_h30_real_over_nu_M_over_R,linear_h30_imag_over_nu_M_over_R,delta_hD30_real_over_nu_M_over_R,delta_hD30_imag_over_nu_M_over_R,delta_hS30_real_over_nu_M_over_R,delta_hS30_imag_over_nu_M_over_R,nonlinear_null_total_h30_real_over_nu_M_over_R,nonlinear_null_total_h30_imag_over_nu_M_over_R,total_h30_real_over_nu_M_over_R,total_h30_imag_over_nu_M_over_R
-1990.0,-0.012148351530206224,-4.3743537620368964e-05,-1.2173425194552532e-15,1.720524063852452e-36,2.8978312315228106e-33,-2.210356225447322e-15,-1.2173425194552532e-15,-2.210356225447322e-15,-0.012148351530207442,-4.374353762257932e-05,0.0005978347462523007,1.5402136477511447e-08,5.540298440341932e-17,-1.394119137857711e-35,1.562345185766036e-32,6.055666550548896e-16,5.540298440341934e-17,6.055666550548896e-16,0.0005978347462523561,1.5402137083078102e-08
-1989.5,-0.012151249721243054,-4.375139880601758e-05,-1.2787593983493516e-15,-1.2992677102010432e-35,-2.5049415228678146e-33,-9.449505423774895e-16,-1.2787593983493516e-15,-9.449505423774895e-16,-0.012151249721244333,-4.375139880696253e-05,0.0005979718842134442,7.767676240882839e-09,5.812527348140866e-17,-1.0128602405074909e-35,5.478823876034589e-32,6.228373523304296e-16,5.812527348140871e-17,6.228373523304296e-16,0.0005979718842135023,7.767676863720191e-09
-1989.0,-0.012154140744617762,-4.376436802265484e-05,-1.3399462362746597e-15,-3.0008730411473216e-35,-1.44490968147708e-33,5.72734563156013e-16,-1.3399462362746597e-15,5.72734563156013e-16,-0.012154140744619102,-4.3764368022082105e-05,0.0005981054005744817,1.573893941607743e-10,6.076939388937429e-17,-1.6024879717810802e-36,2.1289383679652057e-32,5.306808779256901e-16,6.076939388937432e-17,5.306808779256901e-16,0.0005981054005745424,1.5738992484165223e-10
-1988.5,-0.01215702340247382,-4.378324711900878e-05,-1.400854445701465e-15,-3.6502218881235033e-35,1.707144302704846e-34,2.231460986843587e-15,-1.400854445701465e-15,2.231460986843587e-15,-0.012157023402475221,-4.3783247116777315e-05,0.00059823575417171,-6.5374350552123775e-09,6.334555540851961e-17,1.2542830351805022e-36,3.200433344384933e-33,3.4344439092777084e-16,6.334555540851961e-17,3.4344439092777084e-16,0.0005982357541717733,-6.537434711767986e-09
-1988.0,-0.01215989748973112,-4.380836030190918e-05,-1.461464153349568e-15,-2.2394312169587136e-35,-4.766214389171756e-33,3.892886384581826e-15,-1.461464153349568e-15,3.892886384581826e-15,-0.01215989748973258,-4.3808360298016294e-05,0.0005983637220098957,-1.1564129323181002e-08,6.587058569984255e-17,1.732229634270038e-36,-1.1941160470839462e-32,9.014724196118247e-17,6.587058569984254e-17,9.014724196118247e-17,0.0005983637220099617,-1.156412923303376e-08
-1987.5,-0.012162763843700465,-4.3839463517078396e-05,-1.52178891673198e-15,-6.830778670131667e-35,-1.0373212754865204e-32,5.402656082433148e-15,-1.52178891673198e-15,5.402656082433148e-15,-0.012162763843701987,-4.383946351167574e-05,0.0005984903136981922,-1.442055398747158e-08,6.836546054913414e-17,-5.360042650766484e-37,8.19099546091847e-32,-1.9084994257196257e-16,6.836546054913423e-17,-1.9084994257196257e-16,0.0005984903136982606,-1.4420554178321523e-08
-1987.0,-0.01216562427953232,-4.387570716948581e-05,-1.5818775179759703e-15,-1.1234268839369833e-34,3.7587989538616805e-33,6.604792423037485e-15,-1.5818775179759703e-15,6.604792423037485e-15,-0.012165624279533903,-4.387570716288102e-05,0.0005986166592075417,-1.4926032991340304e-08,7.085273701880156e-17,-4.131305458818051e-36,4.5901843922547627e-32,-4.58563342297605e-16,7.085273701880161e-17,-4.58563342297605e-16,0.0005986166592076126,-1.4926033449903646e-08
-1986.5,-0.012168481419690505,-4.391566280459447e-05,-1.6418123157002183e-15,-1.131332453648261e-34,-3.147123603524295e-33,7.358077524327704e-15,-1.6418123157002183e-15,7.358077524327704e-15,-0.012168481419692146,-4.391566279723639e-05,0.0005987438845982504,-1.3239060971364635e-08,7.335430922163967e-17,-5.367906707973484e-36,4.4187920346438536e-32,-6.761390809800731e-16,7.335430922163972e-17,-6.761390809800731e-16,0.0005987438845983238,-1.3239061647503715e-08
-1986.0,-0.012171338436835717,-4.395741737514471e-05,-1.7017039619687374e-15,-1.8153386442051705e-34,-2.7454516543228925e-33,7.552685010296176e-15,-1.7017039619687374e-15,7.552685010296176e-15,-0.012171338436837419,-4.3957417367592025e-05,0.000598872991840585,-9.819235051358038e-09,7.58896998149307e-17,-5.171364052515998e-36,6.006571051255468e-33,-8.164169505306031e-16,7.58896998149307e-17,-8.164169505306031e-16,0.0005988729918406609,-9.81923586777499e-09
-1985.5,-0.01217419873971603,-4.3998730496160043e-05,-1.7616826816253457e-15,-1.9035219593220057e-34,-4.067564042545842e-35,7.125080963137539e-15,-1.7616826816253457e-15,7.125080963137539e-15,-0.012174198739717793,-4.3998730489034965e-05,0.0005990047579167694,-5.341191195492451e-09,7.847489296020331e-17,-1.533500559320022e-36,-7.026408734706841e-33,-8.65437257433081e-16,7.84748929602033e-17,-8.65437257433081e-16,0.0005990047579168479,-5.341192060929708e-09
