t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
24180.0,5.5992167600077295e-06,5.598307452911979e-06,0.0030399781879133707,0.0030394758423680666,1.9199643066063253e-09,1.9196816719818056e-09
24755.0,5.733536286840902e-06,5.7326051082382546e-06,0.003112711846561432,0.0031121974375328512,5.076055122801676e-09,5.074921087545306e-09
25060.0,5.804806287829553e-06,5.803863556787341e-06,0.0031513007221553014,0.0031507799283603333,6.225700371907272e-09,6.223995503740946e-09
25639.0,5.940144979344331e-06,5.939180335625892e-06,0.003224572398255282,0.003224039486038487,7.01481385267379e-09,7.012770565512772e-09
25960.0,6.0152013482390884e-06,6.014224541069134e-06,0.0032652036004885273,0.0032646639642469307,6.599903298840216e-09,6.597832139904269e-09
26523.0,6.146883773892279e-06,6.1458855370521495e-06,0.0033364820996879823,0.0033359306385906643,4.531417496282143e-09,4.529916142683022e-09
26860.0,6.2257314274430035e-06,6.224720299606282e-06,0.0033791574730505625,0.0033785989140411774,2.6691765371422295e-09,2.6680732379930144e-09
27407.0,6.353753025471177e-06,6.3527208718095096e-06,0.003448441060190571,0.00344787094689372,8.140538805371529e-10,8.14170645701097e-10
27760.0,6.436396761236923e-06,6.435351022010804e-06,0.0034931624152497597,0.0034925848409711508,3.0071013807240837e-09,3.0065185645906533e-09
28292.0,6.560986955389389e-06,6.5599207322991186e-06,0.003560576010207841,0.003559987187579093,5.650543792409308e-09,5.649303362410272e-09
28660.0,6.647197249299555e-06,6.646116899847434e-06,0.0036072183947004994,0.0036066218059829782,6.7229474823354e-09,6.7210523992539125e-09
29176.0,6.768117123305947e-06,6.767017006345864e-06,0.0036726334980223194,0.003672026032172116,6.918430627833075e-09,6.916498474379237e-09
29540.0,6.853443903210712e-06,6.852329884115459e-06,0.0037187891234879466,0.0037181739984487824,6.116174449818852e-09,6.114176001725558e-09
30060.0,6.9753776996213265e-06,6.974243843631059e-06,0.0037847402300136197,0.003784114167379914,3.818562762518423e-09,3.817115302615077e-09
30440.0,7.064511760454878e-06,7.0633634179052425e-06,0.003832946066146418,0.0038323120100842247,1.5534343453156198e-09,1.552604220646702e-09
30944.0,7.182768988223991e-06,7.181601410425761e-06,0.003896896314760263,0.0038962516446399546,1.6972646624244447e-09,1.6971798282450127e-09
31340.0,7.275715256733957e-06,7.27453254377591e-06,0.003947154214190804,0.003946501194981165,4.029357885002298e-09,4.028481911721439e-09
31828.0,7.390291328106551e-06,7.389089895935332e-06,0.004009101859226988,0.0040084385272275485,6.142223968273164e-09,6.140846031034052e-09
32240.0,7.487054710991103e-06,7.485837442930175e-06,0.004061413661068278,0.004060741613386835,6.979896863669492e-09,6.977874892751318e-09
32712.0,7.597944917756817e-06,7.596709441018071e-06,0.004121356912113671,0.004120674858747379,6.7080472197147685e-09,6.706205075440922e-09
33140.0,7.698530248224612e-06,7.697278239370803e-06,0.004175724430806153,0.004175033300581593,5.367714162432922e-09,5.365850626512448e-09
33596.0,7.80572980820811e-06,7.804460148756069e-06,0.00423366147962196,0.0042329606680038935,3.0326428747704885e-09,3.031447130034638e-09
34020.0,7.905437931067765e-06,7.90415186942441e-06,0.004287544589747238,0.004286834780544652,3.784706484385375e-10,3.7793956330496363e-10
34480.0,8.013646012703754e-06,8.012342175526353e-06,0.004346015571300139,0.00434529600526334,2.5654938194581355e-09,2.5651290375998578e-09
34920.0,8.117182673319097e-06,8.115861880920743e-06,0.004401956890192126,0.00440122800389575,4.9534275969115785e-09,4.952264146056968e-09
35365.0,8.221928992899944e-06,8.22059110784864e-06,0.004458546395792674,0.004457808096924419,6.544324651363892e-09,6.542755195008985e-09
35820.0,8.329063595488872e-06,8.327708296618941e-06,0.004516420564139881,0.004515672658406455,7.0391725202756855e-09,7.037065971315289e-09
36249.0,8.430108180482388e-06,8.428736461596007e-06,0.004570999689056106,0.00457024272103282,6.377291923904181e-09,6.375479229625788e-09
