t_minus_t0_M,qnm_delta_hD20_real_over_abs_A220_squared_M_over_R,qnm_delta_hD20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS20_real_over_abs_A220_squared_M_over_R,qnm_delta_hS20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hD30_real_over_abs_A220_squared_M_over_R,qnm_delta_hD30_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS30_real_over_abs_A220_squared_M_over_R,qnm_delta_hS30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD20_real_over_abs_A220_squared_M_over_R,analytic_delta_hD20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS20_real_over_abs_A220_squared_M_over_R,analytic_delta_hS20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD30_real_over_abs_A220_squared_M_over_R,analytic_delta_hD30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS30_real_over_abs_A220_squared_M_over_R,analytic_delta_hS30_imag_over_abs_A220_squared_M_over_R
0.9375,0.011208942625558752,-1.4414422837807832e-20,-4.539993333013512e-20,-0.009375104725042977,0.0019576077670477887,3.0662676957627964e-21,-2.9347786393962014e-20,-0.0016181186668219262,0.011208905411431682,3.0105350663776267e-19,-5.225857465256129e-22,-0.009375104725042977,0.001957601267713586,1.754880608098296e-22,-3.60093912856942e-21,-0.0016181186668219223
0.9765625,0.011640137328312877,-6.40551141470671e-21,2.5707295550072184e-20,-0.009735753862989832,0.002032914611539667,-9.95052335679268e-22,-3.419108270750238e-20,-0.0016803657690570779,0.011640098682602563,3.126346772837571e-19,-5.426889991841499e-22,-0.009735753862989843,0.002032907862183801,1.8223887796944736e-22,-3.739462977700266e-21,-0.0016803657690570805
1.015625,0.012068618926078467,-1.3427281570317107e-20,-4.0091638280518704e-20,-0.010094133773209587,0.002107747620490067,-2.5932243201060515e-21,-4.575621462802917e-20,-0.0017422212084946182,0.01206857885779252,3.241429784541943e-19,-5.626657608753232e-22,-0.010094133773209607,0.00210774062268569,1.889472185503977e-22,-3.877115225803298e-21,-0.0017422212084946265
1.0546875,0.012494404489887772,-1.7948628454418672e-20,3.764550420312941e-20,-0.010450258733829964,0.0021821097753028963,-2.9251497251059966e-21,-1.5098980829339062e-20,-0.0018036874495022414,0.012494363007977134,3.355788686485327e-19,-5.8251682748848885e-22,-0.010450258733830028,0.002182102530613263,1.956133498180641e-22,-4.013901357048616e-21,-0.0018036874495022427
1.09375,0.01291751098336101,-1.8335698503107722e-20,-2.3174181260046553e-20,-0.010804142933139974,0.0022560040386228743,-3.4045386259422204e-21,8.353674001971586e-23,-0.0018647669409416457,0.012917468096720298,3.4694280348132224e-19,-6.022429899052155e-22,-0.010804142933140007,0.0022559965486014023,2.022375373561785e-22,-4.1498268210995684e-21,-0.0018647669409416498
1.1328125,0.013337955263382198,-3.323705107501e-20,2.7682964890789235e-20,-0.011155800470154761,0.0023294333544535695,-3.098452266306693e-21,-3.3849553744034255e-20,-0.0019254621162661657,0.013337910980850066,3.5823523570035663e-19,-6.218450340307959e-22,-0.011155800470154782,0.0023294256206439026,2.08820045077403e-22,-4.2848970333298685e-21,-0.0019254621162661711
1.171875,0.01375575408077075,-4.4203368870378697e-20,2.9592201017186175e-20,-0.011505245355177645,0.002402400648274688,-1.8631847609293677e-21,-3.2182348357389897e-20,-0.0019857753936176857,0.013755708411130232,3.6945661520471137e-19,-6.413237408255527e-22,-0.011505245355177688,0.0024023926722107573,2.1536113523384423e-22,-4.419117375039351e-21,-0.0019857753936176857
1.2109375,0.014170924080948832,-3.6674720160118973e-20,3.658287761236181e-20,-0.011852491510358323,0.002474908827158629,-1.3592388911590015e-21,-5.88230546299513e-20,-0.0020457091759229604,0.014170877032927708,3.806073890626677e-19,-6.606798863359585e-22,-0.011852491510358333,0.002474900610364714,2.2186106842750144e-22,-4.552493193668355e-21,-0.0020457091759229656
1.25,0.014583481804604547,-3.5605273278842527e-20,2.8803320638922024e-21,-0.012197552770247172,0.0025469607798863044,-1.932348123142294e-21,-1.9051568907441593e-20,-0.0021052658509894124,0.014583433386875677,3.9168800152952425e-19,-6.799142417255491e-22,-0.012197552770247228,0.002546952323877094,2.2832010362064927e-22,-4.685029803010784e-21,-0.0021052658509894155
1.2890625,0.014993443688350911,-3.6483677271822863e-20,2.4325084558588463e-20,-0.012540442882346951,0.002618559377062228,-2.8404590105697098e-21,-1.0069195649986769e-20,-0.002164447791600188,0.014993393909532582,4.0269889406529658e-19,-6.990275733056505e-22,-0.012540442882347017,0.00261855068334288,2.34738498146155e-22,-4.816732483425807e-21,-0.0021644477916001946
