nu_t_over_M,FastEMRIWaveforms_Re_h2_minus2_over_nu_M,FastEMRIWaveforms_Im_h2_minus2_over_nu_M,minus_two_phi_phi,FastEMRIWaveforms_R_h20_over_nu_M
-95.61289702601626,0.5637903899933471,-0.11741036831505376,-626827191.0824798,0.07875181285825217
-82.46908541564781,-0.5170415194156656,0.2838537482522919,-626910728.871461,0.08020051067683909
-71.034669987363,0.4729837536379279,0.3754701984738278,-626986049.7239907,0.08162319590280376
-61.100961384086055,-0.03595994590921972,0.6170004304681738,-627053821.1145229,0.08301539635717514
-52.480664124450406,0.10714640252994481,0.6231178504492624,-627114686.098016,0.08437310341538273
-45.01167471836433,0.026865567224502774,-0.6459536769382082,-627169221.2128398,0.08569189528811184
-38.54986574016322,-0.5335258209648097,-0.38981948714857895,-627217971.4625546,0.08696765367341652
-32.96507562347472,-0.5770555690976453,0.35017467138706965,-627261468.774478,0.08819718233444862
-28.146126316602416,-0.20601427366875405,-0.6576514425671556,-627300181.2884696,0.08937687574563752
-23.994808656725237,0.4602843522411395,0.5316839611043525,-627334546.7574073,0.09050354039384437
-20.422103251449403,0.7047614303713277,0.13299626966110667,-627364994.3997471,0.09157521635210782
-17.352919936020776,-0.7309805979401666,0.00560115221045823,-627391895.6607438,0.09258953474363855
-14.720570897778934,-0.3795521117720842,0.6406146330635071,-627415601.0881394,0.09354488172509909
-12.46614645219153,-0.02875590497321712,-0.7574533395694066,-627436438.6970918,0.09444038639600176
-10.538068958941526,0.5436168792727256,-0.546926630883939,-627454711.0181762,0.09527579402079828
-8.892212889716266,-0.7836640476805063,-0.022392886520335015,-627470686.8319197,0.09605099256578198
-7.489099253215733,-0.42081004127798766,0.6762905791700294,-627484621.8924652,0.09676689305055251
-6.295689051714885,-0.5268240308383502,0.6135821309235959,-627496736.0250727,0.09742419871482708
-5.282262635774234,0.8205222614795753,0.006345171094790603,-627507239.237023,0.0980246194341506
-4.42310514585321,-0.7435240285611117,0.37332611164263896,-627516321.1071342,0.09857024851426707
-3.696025022306221,-0.03570057554143022,-0.8422608639659327,-627524151.9487555,0.09906348571261969
-3.0818477789349674,-0.34622165750890166,0.7802595951722747,-627530884.8409036,0.09950701271523847
